table	source	line	evidence_id	technical_description	business_description	description_source	validation_status	owner_domain	lifecycle	pii	active_status	read_references	write_references	usage_status
ada_agentesaduana	.data_base/asgard.sql	24	DB-TABLE-E00AA9FEB98698	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio ada: Agentes de aduana: entidades, contactos, documentos y relacion con clientes. Por su nombre agrupa agentes externos o internos que participan en gestion aduanera/operativa, agente externo o interno que participa en gestion aduanera/operativa, aduana o entidad/parametro del tramite aduanero. Tiene lectura y escritura observada, por lo que probablemente participa en un flujo transaccional activo.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	ada	DOMAIN_ENTITY_OR_LEGACY	UNKNOWN_OR_BUSINESS_DATA	UNKNOWN	8	1	USED
ada_agentescontactos	.data_base/asgard.sql	56	DB-TABLE-F447E0C7A23CB6	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio ada: Agentes de aduana: entidades, contactos, documentos y relacion con clientes. Por su nombre agrupa personas de contacto y sus datos de comunicacion, persona de contacto y sus datos de comunicacion, agentes externos o internos que participan en gestion aduanera/operativa, agente externo o interno que participa en gestion aduanera/operativa. Tiene lectura y escritura observada, por lo que probablemente participa en un flujo transaccional activo.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	ada	DOMAIN_ENTITY_OR_LEGACY	LIKELY_PERSONAL_OR_SENSITIVE	UNKNOWN	6	1	USED
ada_agentesdocumentos	.data_base/asgard.sql	76	DB-TABLE-F077CE689E7F11	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio ada: Agentes de aduana: entidades, contactos, documentos y relacion con clientes. Por su nombre agrupa documentos o soportes asociados al expediente, documento o soporte asociado al expediente, agentes externos o internos que participan en gestion aduanera/operativa, agente externo o interno que participa en gestion aduanera/operativa. Tiene lectura y escritura observada, por lo que probablemente participa en un flujo transaccional activo.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	ada	DOMAIN_ENTITY_OR_LEGACY	UNKNOWN_OR_BUSINESS_DATA	UNKNOWN	1	1	USED
ada_clienteagenteaduana	.data_base/asgard.sql	96	DB-TABLE-0F18FF928B54F2	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio ada: Agentes de aduana: entidades, contactos, documentos y relacion con clientes. Por su nombre agrupa cliente/tenant propietario de la operacion o filtro de visibilidad, agente externo o interno que participa en gestion aduanera/operativa, aduana o entidad/parametro del tramite aduanero. Tiene lectura y escritura observada, por lo que probablemente participa en un flujo transaccional activo.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	ada	DOMAIN_ENTITY_OR_LEGACY	UNKNOWN_OR_BUSINESS_DATA	UNKNOWN	4	1	USED
ada_tipocontactos	.data_base/asgard.sql	107	DB-TABLE-AF28A879AFFBD9	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio ada: Agentes de aduana: entidades, contactos, documentos y relacion con clientes. Por su nombre agrupa personas de contacto y sus datos de comunicacion, persona de contacto y sus datos de comunicacion, tipo/clasificador que parametriza la regla o pantalla. Tiene lecturas observadas y parece actuar como consulta, catalogo o fuente de reporte.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	ada	DOMAIN_ENTITY_OR_LEGACY	LIKELY_PERSONAL_OR_SENSITIVE	UNKNOWN	1	0	USED
adaprov_agenteproveedor	.data_base/asgard.sql	119	DB-TABLE-EA33FA35EA2536	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio adaprov: Relacion entre agentes/proveedores, contactos y mercancias. Por su nombre agrupa proveedor o tercero participante en el proceso, agente externo o interno que participa en gestion aduanera/operativa. Tiene lecturas observadas y parece actuar como consulta, catalogo o fuente de reporte.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	adaprov	DOMAIN_ENTITY_OR_LEGACY	UNKNOWN_OR_BUSINESS_DATA	UNKNOWN	2	0	USED
adaprov_agenteproveedorcontactos	.data_base/asgard.sql	137	DB-TABLE-9826F04C518FAC	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio adaprov: Relacion entre agentes/proveedores, contactos y mercancias. Por su nombre agrupa proveedor o tercero participante en el proceso, personas de contacto y sus datos de comunicacion, persona de contacto y sus datos de comunicacion, agente externo o interno que participa en gestion aduanera/operativa. Tiene lecturas observadas y parece actuar como consulta, catalogo o fuente de reporte.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	adaprov	DOMAIN_ENTITY_OR_LEGACY	LIKELY_PERSONAL_OR_SENSITIVE	UNKNOWN	1	0	USED
adaprov_agenteproveedormercancia	.data_base/asgard.sql	154	DB-TABLE-48EC8C5FFF5B48	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio adaprov: Relacion entre agentes/proveedores, contactos y mercancias. Por su nombre agrupa proveedor o tercero participante en el proceso, mercancia o item objeto de transporte/declaracion, agente externo o interno que participa en gestion aduanera/operativa. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	adaprov	DOMAIN_ENTITY_OR_LEGACY	LIKELY_PERSONAL_OR_SENSITIVE	UNKNOWN	0	0	NO_USAGE_FOUND
adicion	.data_base/asgard.sql	169	DB-TABLE-4811AB5BA38BC5	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio transversal: Tabla transversal o legacy sin prefijo funcional inequivoco. Por su nombre agrupa entidad o catalogo legacy cuyo significado debe confirmarse por uso en codigo y datos. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	transversal	DOMAIN_ENTITY_OR_LEGACY	LIKELY_PERSONAL_OR_SENSITIVE	UNKNOWN	0	0	NO_USAGE_FOUND
ads_agenteseguro	.data_base/asgard.sql	180	DB-TABLE-A968ADD9A5B32A	Physical table declared in .data_base/asgard.sql	Tabla candidata del dominio ads: Agentes de seguro o soporte documental asociado a seguros/contactos. Por su nombre agrupa agentes externos o internos que participan en gestion aduanera/operativa, agente externo o interno que participa en gestion aduanera/operativa. Tiene lectura y escritura observada, por lo que probablemente participa en un flujo transaccional activo.	SEMANTIC_REVERSE_ENGINEERING_CANDIDATE	SEMANTIC_INFERENCE_REVIEW_REQUIRED	ads	DOMAIN_ENTITY_OR_LEGACY	UNKNOWN_OR_BUSINESS_DATA	UNKNOWN	5	1	USED
