table,column,data_type,nullable,default,key_role,technical_description,business_description,description_source,validation_status,business_rule,check_constraints,allowed_values,sensitivity,source,line,evidence_id
ada_agentesaduana,id,int,NO,,PRIMARY_KEY,Column ada_agentesaduana.id declared as int,"En `ada_agentesaduana`, campo obligatorio del dominio ada. Identificador tecnico o referencia a otra entidad; si apunta a otra tabla funciona como clave de relacion funcional. Se interpreta dentro de: agentes externos o internos que participan en gestion aduanera/operativa, agente externo o interno que participa en gestion aduanera/operativa, aduana o entidad/parametro del tramite aduanero. Actua como clave primaria del registro. Tipo fisico: int.",SEMANTIC_REVERSE_ENGINEERING_CANDIDATE,SEMANTIC_INFERENCE_REVIEW_REQUIRED,,[],[],BUSINESS_DATA,.data_base/asgard.sql,25,DB-COLUMN-1B2C586154D5D3
ada_agentesaduana,idcliente,int,NO,,,Column ada_agentesaduana.idcliente declared as int,"En `ada_agentesaduana`, campo obligatorio del dominio ada. Identificador o clave foranea candidata que referencia cliente/tenant propietario de la operacion o filtro de visibilidad. Se interpreta dentro de: agentes externos o internos que participan en gestion aduanera/operativa, agente externo o interno que participa en gestion aduanera/operativa, aduana o entidad/parametro del tramite aduanero. Tipo fisico: int.",SEMANTIC_REVERSE_ENGINEERING_CANDIDATE,SEMANTIC_INFERENCE_REVIEW_REQUIRED,,[],[],BUSINESS_DATA,.data_base/asgard.sql,26,DB-COLUMN-A4E0F5218122B5
ada_agentesaduana,idpais,int,YES_OR_UNSPECIFIED,NULL,,Column ada_agentesaduana.idpais declared as int,"En `ada_agentesaduana`, campo opcional o nullable del dominio ada. Identificador tecnico o referencia a otra entidad; si apunta a otra tabla funciona como clave de relacion funcional. Se interpreta dentro de: agentes externos o internos que participan en gestion aduanera/operativa, agente externo o interno que participa en gestion aduanera/operativa, aduana o entidad/parametro del tramite aduanero. Tipo fisico: int.",SEMANTIC_REVERSE_ENGINEERING_CANDIDATE,SEMANTIC_INFERENCE_REVIEW_REQUIRED,,[],[],BUSINESS_DATA,.data_base/asgard.sql,27,DB-COLUMN-2E03FF3E7B6501
ada_agentesaduana,nombre,varchar(100) CHARACTER SET utf8mb3,NO,,,Column ada_agentesaduana.nombre declared as varchar(100) CHARACTER SET utf8mb3,"En `ada_agentesaduana`, campo obligatorio del dominio ada. Texto descriptivo visible para usuarios, reportes o catalogos funcionales. Se interpreta dentro de: agentes externos o internos que participan en gestion aduanera/operativa, agente externo o interno que participa en gestion aduanera/operativa, aduana o entidad/parametro del tramite aduanero. Tipo fisico: varchar(100) CHARACTER SET utf8mb3.",SEMANTIC_REVERSE_ENGINEERING_CANDIDATE,SEMANTIC_INFERENCE_REVIEW_REQUIRED,,[],[],PERSONAL_OR_CONTACT_DATA,.data_base/asgard.sql,28,DB-COLUMN-914F38F5EB0D12
ada_agentesaduana,nit,int,NO,,,Column ada_agentesaduana.nit declared as int,"En `ada_agentesaduana`, campo obligatorio del dominio ada. Identificador fiscal o personal usado para reconocimiento legal/tributario. Se interpreta dentro de: agentes externos o internos que participan en gestion aduanera/operativa, agente externo o interno que participa en gestion aduanera/operativa, aduana o entidad/parametro del tramite aduanero. Tipo fisico: int.",SEMANTIC_REVERSE_ENGINEERING_CANDIDATE,SEMANTIC_INFERENCE_REVIEW_REQUIRED,,[],[],PERSONAL_OR_CONTACT_DATA,.data_base/asgard.sql,29,DB-COLUMN-777EE9CCF2BC5F
ada_agentesaduana,actividad,varchar(150) CHARACTER SET utf8mb3,NO,,,Column ada_agentesaduana.actividad declared as varchar(150) CHARACTER SET utf8mb3,"En `ada_agentesaduana`, campo obligatorio del dominio ada. Campo de negocio relacionado con actividad comercial, operativa o descriptiva de la entidad. Se interpreta dentro de: agentes externos o internos que participan en gestion aduanera/operativa, agente externo o interno que participa en gestion aduanera/operativa, aduana o entidad/parametro del tramite aduanero. Tipo fisico: varchar(150) CHARACTER SET utf8mb3.",SEMANTIC_REVERSE_ENGINEERING_CANDIDATE,SEMANTIC_INFERENCE_REVIEW_REQUIRED,,[],[],BUSINESS_DATA,.data_base/asgard.sql,30,DB-COLUMN-48ACD482BC12F4
ada_agentesaduana,direccion_matriz,varchar(150) CHARACTER SET utf8mb3,NO,,,Column ada_agentesaduana.direccion_matriz declared as varchar(150) CHARACTER SET utf8mb3,"En `ada_agentesaduana`, campo obligatorio del dominio ada. Direccion fisica o ubicacion de contacto/sucursal; dato personal/empresarial sensible. Se interpreta dentro de: agentes externos o internos que participan en gestion aduanera/operativa, agente externo o interno que participa en gestion aduanera/operativa, aduana o entidad/parametro del tramite aduanero. Tipo fisico: varchar(150) CHARACTER SET utf8mb3.",SEMANTIC_REVERSE_ENGINEERING_CANDIDATE,SEMANTIC_INFERENCE_REVIEW_REQUIRED,,[],[],PERSONAL_OR_CONTACT_DATA,.data_base/asgard.sql,31,DB-COLUMN-7A947CEEF0237F
ada_agentesaduana,direccion_sucursal,varchar(150) CHARACTER SET utf8mb3,YES_OR_UNSPECIFIED,NULL,,Column ada_agentesaduana.direccion_sucursal declared as varchar(150) CHARACTER SET utf8mb3,"En `ada_agentesaduana`, campo opcional o nullable del dominio ada. Direccion fisica o ubicacion de contacto/sucursal; dato personal/empresarial sensible. Se interpreta dentro de: agentes externos o internos que participan en gestion aduanera/operativa, agente externo o interno que participa en gestion aduanera/operativa, aduana o entidad/parametro del tramite aduanero. Tipo fisico: varchar(150) CHARACTER SET utf8mb3.",SEMANTIC_REVERSE_ENGINEERING_CANDIDATE,SEMANTIC_INFERENCE_REVIEW_REQUIRED,,[],[],PERSONAL_OR_CONTACT_DATA,.data_base/asgard.sql,32,DB-COLUMN-D28692E800F7D5
ada_agentesaduana,telefono,varchar(15) CHARACTER SET utf8mb3,NO,,,Column ada_agentesaduana.telefono declared as varchar(15) CHARACTER SET utf8mb3,"En `ada_agentesaduana`, campo obligatorio del dominio ada. Telefono de contacto; dato personal usado para coordinacion o notificacion. Se interpreta dentro de: agentes externos o internos que participan en gestion aduanera/operativa, agente externo o interno que participa en gestion aduanera/operativa, aduana o entidad/parametro del tramite aduanero. Tipo fisico: varchar(15) CHARACTER SET utf8mb3.",SEMANTIC_REVERSE_ENGINEERING_CANDIDATE,SEMANTIC_INFERENCE_REVIEW_REQUIRED,,[],[],PERSONAL_OR_CONTACT_DATA,.data_base/asgard.sql,33,DB-COLUMN-003259198C4687
ada_agentesaduana,cuentas_bancarias,varchar(25) CHARACTER SET utf8mb3,YES_OR_UNSPECIFIED,NULL,,Column ada_agentesaduana.cuentas_bancarias declared as varchar(25) CHARACTER SET utf8mb3,"En `ada_agentesaduana`, campo opcional o nullable del dominio ada. Campo legacy cuyo significado se debe confirmar por pantalla, consulta SQL o datos productivos. Se interpreta dentro de: agentes externos o internos que participan en gestion aduanera/operativa, agente externo o interno que participa en gestion aduanera/operativa, aduana o entidad/parametro del tramite aduanero. Tipo fisico: varchar(25) CHARACTER SET utf8mb3.",SEMANTIC_REVERSE_ENGINEERING_CANDIDATE,SEMANTIC_INFERENCE_REVIEW_REQUIRED,,[],[],FINANCIAL_OR_COMMERCIAL,.data_base/asgard.sql,34,DB-COLUMN-ED9DDD797CE223
