domain,table,candidate_domain,flow_usage,semantic_role_in_flow,fields_in_flow,rule_hints,risk_hints,mutations_observed,table_context,evidence_refs,read_references,write_references,validation_status
accounting-ledger-aging-reporting,dav_aging,dav,REPORTING_READ_MODEL,"Entidad documental o soporte usado para validar, adjuntar, generar o descargar evidencias.","anio, mes, monto",control de acceso/cliente; transicion o bloqueo por estado; regla documental/carga-descarga; calculo financiero/impositivo; persistencia/atomicidad/concurrencia,variante cliente pendiente de confirmar; catalogo/semantica pendiente,,"- Insercion o actualizacion de `dav_aging` por mes/anio. | `index_archivos/contables/agig_ajax.php` | Inserta/actualiza `dav_aging` por mes/anio. | `.data_base/asgard.sql` | Tablas `dav_aging`, `dav_meses`, `dav_facturaplanilla`, `dav_facturasdetalle`, `dav_pagosdetalle`, `dav_concepto`. | ASGARD carga montos desde `dav_aging`. | BR-ALAR-003 | Si existe `dav_aging` por mes/anio se actualiza; si no existe se inserta. | `dav_aging.mes` | Mes del registro aging/ahorro.",,0,0,FLOW_SEMANTIC_INFERENCE_REVIEW_REQUIRED
accounting-ledger-aging-reporting,dav_casos,dav,REPORTING_READ_MODEL,Entidad de contexto usada por el flujo para consultar o relacionar informacion de negocio.,"anulado, carpeta, columna, correlativo, idestado, otro",control de acceso/cliente; transicion o bloqueo por estado; regla documental/carga-descarga; calculo financiero/impositivo; persistencia/atomicidad/concurrencia,variante cliente pendiente de confirmar; catalogo/semantica pendiente,,"`dav_casos` | Caso base, cliente, linea, ciudad, fecha pago DIM y anulacion.",EV-SQL_QUERY-1E16A453C0FC22 .data_base/asgard.sql:17707 READS access to dav_casos | EV-SQL_QUERY-C8AB19C9274D78 .data_base/asgard.sql:17755 READS access to dav_casos | EV-SQL_QUERY-85B23A1F6B1886 .data_base/asgard.sql:17773 READS access to dav_casosprevios | EV-SQL_QUERY-A3D8E3282D4ABA .data_base/asgard.sql:17773 READS access to dav_casos | EV-SQL_QUERY-1A08C59D5D207E .data_base/asgard.sql:17815 READS access to dav_casostarea | EV-SQL_QUERY-F5AD1D6FB7CE71 .data_base/asgard.sql:17821 READS access to dav_casos | EV-SQL_QUERY-21DBC002504852 .data_base/asgard.sql:17827 READS access to dav_casos | EV-SQL_QUERY-F810E95BCF97F6 .data_base/asgard.sql:17839 READS access to dav_casos | EV-SQL_QUERY-6078F1BF55EFAA .data_base/asgard.sql:17875 READS access to dav_casos | EV-SQL_QUERY-A3EEC206C5E6EE .data_base/asgard.sql:17881 READS access to dav_casos | EV-SQL_QUERY-CE70168053BD60 .data_base/asgard.sql:17887 READS access to dav_casos | EV-SQL_QUERY-510EF36FB05331 .data_base/asgard.sql:17893 READS access to dav_casosprevios | EV-SQL_QUERY-5EE6AF5366A82A .data_base/asgard.sql:17893 READS access to dav_casos | EV-SQL_QUERY-BB76D27B1C1433 .data_base/asgard.sql:17917 READS access to dav_casos | EV-SQL_QUERY-D9DF6CBD08D688 .data_base/asgard.sql:17917 READS access to dav_casosprevios | EV-SQL_QUERY-1EE354C2A5DD75 .data_base/asgard.sql:17941 READS access to dav_casosprevios | EV-SQL_QUERY-7CC97CDA261E3B .data_base/asgard.sql:17947 READS access to dav_casos | EV-SQL_QUERY-B3F6CA84CCD544 .data_base/asgard.sql:18239 READS access to dav_casos | EV-SQL_QUERY-2D87C35537BA0A .data_base/asgard.sql:18276 READS access to dav_casosprevios | EV-SQL_QUERY-41CBA511A1A811 .data_base/asgard.sql:18307 READS access to dav_casos,23,3,FLOW_SEMANTIC_INFERENCE_REVIEW_REQUIRED
accounting-ledger-aging-reporting,dav_concepto,dav,REPORTING_READ_MODEL,Entidad de contexto usada por el flujo para consultar o relacionar informacion de negocio.,"concepto, descripcion, factura, gde, nit, tributos",control de acceso/cliente; transicion o bloqueo por estado; regla documental/carga-descarga; calculo financiero/impositivo; persistencia/atomicidad/concurrencia,variante cliente pendiente de confirmar; catalogo/semantica pendiente,,"`.data_base/asgard.sql` | Tablas `dav_aging`, `dav_meses`, `dav_facturaplanilla`, `dav_facturasdetalle`, `dav_pagosdetalle`, `dav_concepto`. | `dav_concepto` | Clasificadores de GDE, tributos y otros conceptos.",EV-SQL_QUERY-587F44C75E4D98 .data_base/asgard.sql:17791 READS access to dav_concepto | EV-SQL_QUERY-399DF0033E998D .data_base/asgard.sql:17821 READS access to dav_concepto | EV-SQL_QUERY-7A4AC0A78FE19F .data_base/asgard.sql:17827 READS access to dav_concepto | EV-SQL_QUERY-D39D415D584A89 .data_base/asgard.sql:17833 READS access to dav_concepto | EV-SQL_QUERY-D80F7FC6DC1EF1 .data_base/asgard.sql:17857 READS access to dav_concepto | EV-SQL_QUERY-522ACE1675D3D9 .data_base/asgard.sql:17869 READS access to dav_concepto | EV-SQL_QUERY-C7E545C151F505 .data_base/asgard.sql:17875 READS access to dav_concepto | EV-SQL_QUERY-CFD0A66DF51C7F .data_base/asgard.sql:17983 READS access to dav_concepto | EV-SQL_QUERY-03B8C88AE883A5 .data_base/asgard.sql:18413 READS access to dav_concepto | EV-SQL_QUERY-9CE529A74838D9 .data_base/asgard.sql:18458 READS access to dav_concepto | EV-SQL_QUERY-59EDA3FA877A03 .data_base/asgard.sql:18530 READS access to dav_concepto | EV-SQL_QUERY-64F81B79DD8101 .data_base/asgard.sql:18558 READS access to dav_concepto | EV-SQL_QUERY-43B97966EC3F1F .data_base/asgard.sql:20486 READS access to dav_concepto | EV-SQL_QUERY-7FDC50097B1974 .data_base/asgard.sql:20528 READS access to dav_concepto | EV-SQL_QUERY-70E0F5D1E0AB98 .data_base/asgard.sql:21221 READS access to dav_concepto | EV-SQL_QUERY-A354ADE4E9F80F .data_base/asgard.sql:21263 READS access to dav_concepto | EV-SQL_QUERY-2D0FE0862AB41C .data_base/asgard.sql:21989 READS access to dav_concepto | EV-SQL_QUERY-D6BA32AA66CB81 .data_base/asgard.sql:22031 READS access to dav_concepto | EV-SQL_QUERY-E9A9629482E5D9 .data_base/asgard.sql:22096 READS access to dav_concepto | EV-SQL_QUERY-2CA4B3AD5A8BCD .data_base/asgard.sql:22121 READS access to dav_concepto,1,0,FLOW_SEMANTIC_INFERENCE_REVIEW_REQUIRED
accounting-ledger-aging-reporting,dav_dosificacion,dav,REPORTING_READ_MODEL,Entidad de contexto usada por el flujo para consultar o relacionar informacion de negocio.,,control de acceso/cliente; transicion o bloqueo por estado; regla documental/carga-descarga; calculo financiero/impositivo; persistencia/atomicidad/concurrencia,variante cliente pendiente de confirmar; catalogo/semantica pendiente,,`dav_dosificacion` | Nro autorizacion y codigo de control de factura.,EV-SQL_QUERY-B064FBE5231704 .data_base/asgard.sql:45855 READS access to dav_dosificacion,1,0,FLOW_SEMANTIC_INFERENCE_REVIEW_REQUIRED
accounting-ledger-aging-reporting,dav_facturaplanilla,dav,REPORTING_READ_MODEL,Modelo de lectura o fuente de reporteria del flujo.,"cliente, fecha, idestadofactura, nit, nro",control de acceso/cliente; transicion o bloqueo por estado; regla documental/carga-descarga; calculo financiero/impositivo; persistencia/atomicidad/concurrencia,variante cliente pendiente de confirmar; catalogo/semantica pendiente,,"`.data_base/asgard.sql` | Tablas `dav_aging`, `dav_meses`, `dav_facturaplanilla`, `dav_facturasdetalle`, `dav_pagosdetalle`, `dav_concepto`. | `dav_facturaplanilla` | Facturas/planillas activas y numeros fiscales. | `Factura activa para reporte` | `dav_facturaplanilla.idestadofactura=1`.",EV-SQL_QUERY-7A8D0839363E40 .data_base/asgard.sql:17695 READS access to dav_facturaplanilla | EV-SQL_QUERY-FE2F4B4D50414D .data_base/asgard.sql:17701 READS access to dav_facturaplanilla | EV-SQL_QUERY-380B7E65D6B753 .data_base/asgard.sql:17761 READS access to dav_facturaplanilla | EV-SQL_QUERY-B852A980F6E3B6 .data_base/asgard.sql:17785 READS access to dav_facturaplanilla | EV-SQL_QUERY-0E7A5CD6CC7AB3 .data_base/asgard.sql:17821 READS access to dav_facturaplanilla | EV-SQL_QUERY-CA801278D001D7 .data_base/asgard.sql:17827 READS access to dav_facturaplanilla | EV-SQL_QUERY-F0D2E0E0F20BAB .data_base/asgard.sql:17857 READS access to dav_facturaplanilla | EV-SQL_QUERY-C66C4511D9DA1C .data_base/asgard.sql:17875 READS access to dav_facturaplanilla | EV-SQL_QUERY-B97F8A0E956DAD .data_base/asgard.sql:17917 READS access to dav_facturaplanilla | EV-SQL_QUERY-80623E9DA7EE1B .data_base/asgard.sql:17941 READS access to dav_facturaplanilla | EV-SQL_QUERY-2AFCE480BC0FB0 .data_base/asgard.sql:17977 READS access to dav_facturaplanilla | EV-SQL_QUERY-D6000DFC009DCA .data_base/asgard.sql:17983 READS access to dav_facturaplanilla | EV-SQL_QUERY-00111C41BCBE2E .data_base/asgard.sql:18306 READS access to dav_facturaplanilla | EV-SQL_QUERY-2016900B7344D7 .data_base/asgard.sql:18342 READS access to dav_facturaplanilla | EV-SQL_QUERY-10295D19BBA690 .data_base/asgard.sql:18366 READS access to dav_facturaplanilla | EV-SQL_QUERY-BA1CCA643B30E2 .data_base/asgard.sql:18411 READS access to dav_facturaplanilla | EV-SQL_QUERY-39B09EC3B8B329 .data_base/asgard.sql:18456 READS access to dav_facturaplanilla | EV-SQL_QUERY-4E3900A8536100 .data_base/asgard.sql:18502 READS access to dav_facturaplanilla | EV-SQL_QUERY-EC1FD3759DDCA3 .data_base/asgard.sql:18528 READS access to dav_facturaplanilla | EV-SQL_QUERY-F06CEFE17053E5 .data_base/asgard.sql:18556 READS access to dav_facturaplanilla,2,1,FLOW_SEMANTIC_INFERENCE_REVIEW_REQUIRED
accounting-ledger-aging-reporting,dav_facturasdetalle,dav,REPORTING_READ_MODEL,Entidad de contexto usada por el flujo para consultar o relacionar informacion de negocio.,"concepto, monto",control de acceso/cliente; transicion o bloqueo por estado; regla documental/carga-descarga; calculo financiero/impositivo; persistencia/atomicidad/concurrencia,variante cliente pendiente de confirmar; catalogo/semantica pendiente,,"`.data_base/asgard.sql` | Tablas `dav_aging`, `dav_meses`, `dav_facturaplanilla`, `dav_facturasdetalle`, `dav_pagosdetalle`, `dav_concepto`. | `dav_facturasdetalle` | Detalles facturados por concepto.",EV-SQL_QUERY-6C335EEF26AC2C .data_base/asgard.sql:18304 READS access to dav_facturasdetalle | EV-SQL_QUERY-EB6DC5932871EA .data_base/asgard.sql:18340 READS access to dav_facturasdetalle | EV-SQL_QUERY-45B00841497720 .data_base/asgard.sql:19654 READS access to dav_facturasdetalle | EV-SQL_QUERY-676ACE4EAE8285 .data_base/asgard.sql:20045 READS access to dav_facturasdetalle | EV-SQL_QUERY-638191EB257C16 .data_base/asgard.sql:20423 READS access to dav_facturasdetalle | EV-SQL_QUERY-622AD5D293DC66 .data_base/asgard.sql:21158 READS access to dav_facturasdetalle | EV-SQL_QUERY-B8134640A2980E .data_base/asgard.sql:21904 READS access to dav_facturasdetalle | EV-SQL_QUERY-68A1772A4E4378 .data_base/asgard.sql:21921 READS access to dav_facturasdetalle | EV-SQL_QUERY-3C9733F993B278 .data_base/asgard.sql:23175 READS access to dav_facturasdetalle | EV-SQL_QUERY-3B3BB9A139A48C .data_base/asgard.sql:23921 READS access to dav_facturasdetalle | EV-SQL_QUERY-007DE2A4FA922C .data_base/asgard.sql:23938 READS access to dav_facturasdetalle | EV-SQL_QUERY-B474B0EA84C8BC .data_base/asgard.sql:25002 READS access to dav_facturasdetalle | EV-SQL_QUERY-AD40BC76AB6BE6 .data_base/asgard.sql:25037 READS access to dav_facturasdetalle | EV-SQL_QUERY-D73F7D98CACAB0 .data_base/asgard.sql:28585 READS access to dav_facturasdetalle | EV-SQL_QUERY-ED23B18BC10978 .data_base/asgard.sql:28607 READS access to dav_facturasdetalle | EV-SQL_QUERY-485A3B57C01F5E .data_base/asgard.sql:28629 READS access to dav_facturasdetalle | EV-SQL_QUERY-82E5A97227380F .data_base/asgard.sql:28826 READS access to dav_facturasdetalle | EV-SQL_QUERY-C7A18C03253CD5 .data_base/asgard.sql:28846 READS access to dav_facturasdetalle | EV-SQL_QUERY-A66D162FBA03F0 .data_base/asgard.sql:29311 READS access to dav_facturasdetalle | EV-SQL_QUERY-4594F99CFB7073 .data_base/asgard.sql:29627 READS access to dav_facturasdetalle,1,0,FLOW_SEMANTIC_INFERENCE_REVIEW_REQUIRED
accounting-ledger-aging-reporting,dav_meses,dav,REPORTING_READ_MODEL,"Catalogo o parametro que condiciona reglas, permisos o variantes del flujo.",mes,control de acceso/cliente; transicion o bloqueo por estado; regla documental/carga-descarga; calculo financiero/impositivo; persistencia/atomicidad/concurrencia,variante cliente pendiente de confirmar; catalogo/semantica pendiente,,"`.data_base/asgard.sql` | Tablas `dav_aging`, `dav_meses`, `dav_facturaplanilla`, `dav_facturasdetalle`, `dav_pagosdetalle`, `dav_concepto`. | `dav_meses` | Catalogo de meses para la matriz.",EV-SQL_QUERY-83F0A1D0681908 .data_base/asgard.sql:32607 READS access to dav_meses | EV-SQL_QUERY-7A19ED8ED142B6 .data_base/asgard.sql:33104 READS access to dav_meses | EV-SQL_QUERY-623686008AE39D .data_base/asgard.sql:34238 READS access to dav_meses | EV-SQL_QUERY-BC896C78643761 .data_base/asgard.sql:35364 READS access to dav_meses | EV-SQL_QUERY-CD09AD86A2F6B6 .data_base/asgard.sql:36502 READS access to dav_meses,1,0,FLOW_SEMANTIC_INFERENCE_REVIEW_REQUIRED
accounting-ledger-aging-reporting,dav_pagosdetalle,dav,REPORTING_READ_MODEL,Entidad de contexto usada por el flujo para consultar o relacionar informacion de negocio.,"monto, nro",control de acceso/cliente; transicion o bloqueo por estado; regla documental/carga-descarga; calculo financiero/impositivo; persistencia/atomicidad/concurrencia,variante cliente pendiente de confirmar; catalogo/semantica pendiente,,"`.data_base/asgard.sql` | Tablas `dav_aging`, `dav_meses`, `dav_facturaplanilla`, `dav_facturasdetalle`, `dav_pagosdetalle`, `dav_concepto`. | `dav_pagosdetalle` | Pagos usados para IVA/DIM y componentes de planilla.",EV-SQL_QUERY-BC17003CF9BEFD .data_base/asgard.sql:17827 READS access to dav_pagosdetalle | EV-SQL_QUERY-07C2F68097DAC4 .data_base/asgard.sql:17869 READS access to dav_pagosdetalle | EV-SQL_QUERY-99754B68578828 .data_base/asgard.sql:17875 READS access to dav_pagosdetalle | EV-SQL_QUERY-3CE7AA68B2AD69 .data_base/asgard.sql:17881 READS access to dav_pagosdetalle | EV-SQL_QUERY-684300BD3CFFBC .data_base/asgard.sql:17887 READS access to dav_pagosdetalle | EV-SQL_QUERY-103E2B3C0B1404 .data_base/asgard.sql:17983 READS access to dav_pagosdetalle | EV-SQL_QUERY-E623CAFED17DAA .data_base/asgard.sql:18363 READS access to dav_pagosdetalle | EV-SQL_QUERY-398A69CAC1CA16 .data_base/asgard.sql:18375 READS access to dav_pagosdetalle | EV-SQL_QUERY-03C584BBE22EF8 .data_base/asgard.sql:18408 READS access to dav_pagosdetalle | EV-SQL_QUERY-9E4098F303ED07 .data_base/asgard.sql:18453 READS access to dav_pagosdetalle | EV-SQL_QUERY-022C6952005AD1 .data_base/asgard.sql:18466 READS access to dav_pagosdetalle | EV-SQL_QUERY-9CD940EDEBD86F .data_base/asgard.sql:18499 READS access to dav_pagosdetalle | EV-SQL_QUERY-882BE1EE0577B4 .data_base/asgard.sql:18525 READS access to dav_pagosdetalle | EV-SQL_QUERY-C5BCB20219BBC3 .data_base/asgard.sql:18553 READS access to dav_pagosdetalle | EV-SQL_QUERY-282C3A4378F3DC .data_base/asgard.sql:18613 READS access to dav_pagosdetalle | EV-SQL_QUERY-9D351877EC4BD4 .data_base/asgard.sql:19066 READS access to dav_pagosdetalle | EV-SQL_QUERY-D7F166F464E320 .data_base/asgard.sql:19358 READS access to dav_pagosdetalle | EV-SQL_QUERY-1FFD03C02C0A9F .data_base/asgard.sql:19609 READS access to dav_pagosdetalle | EV-SQL_QUERY-6167B1FB7F9E9E .data_base/asgard.sql:19671 READS access to dav_pagosdetalle | EV-SQL_QUERY-1FBD26171E54ED .data_base/asgard.sql:20062 READS access to dav_pagosdetalle,8,0,FLOW_SEMANTIC_INFERENCE_REVIEW_REQUIRED
additional-services-request-management,ages_solicitudes_asesoria_gestion,ages,REPORTING_READ_MODEL,Modelo de lectura o fuente de reporteria del flujo.,"casos_id, ciudad_id, e_mail, embarque_id, fecha_cierre, fecha_finalizacion, fecha_inicio_proceso, fecha_inicio_revision, responsable_cierre_id",control de acceso/cliente; transicion o bloqueo por estado; regla documental/carga-descarga; calculo financiero/impositivo; persistencia/atomicidad/concurrencia; notificacion o acceso externo,variante cliente pendiente de confirmar; catalogo/semantica pendiente; seguridad/autorizacion sensible,,"`.data_base/asgard.sql` | Tablas/vistas `ages_solicitudes_asesoria_gestion`, `dav_tramites`, `v_solicitudes_asesoria_gestion`, `v_reporte_general_asesoria_gestion`. | `ages_solicitudes_asesoria_gestion.id` | Identificador de solicitud, presentado como `SOL-GE-*`. | `ages_solicitudes_asesoria_gestion.estado` | Estado de ciclo de vida de solicitud. | `ages_solicitudes_asesoria_gestion.solicitante`, `e_mail`, `ciudad_id` | Datos minimos de solicitud. | `ages_solicitudes_asesoria_gestion.notas_adicionales` | Observaciones del solicitante.",EV-SQL_QUERY-A9687DA82EEF30 .data_base/asgard.sql:17821 READS access to ages_solicitudes_asesoria_gestion | EV-SQL_QUERY-C11255AA7C752C .data_base/asgard.sql:17827 READS access to ages_solicitudes_asesoria_gestion | EV-SQL_QUERY-C6C5E46159F4DE .data_base/asgard.sql:18588 READS access to ages_solicitudes_asesoria_gestion | EV-SQL_QUERY-35CF7906845C05 .data_base/asgard.sql:18809 READS access to ages_solicitudes_asesoria_gestion | EV-SQL_QUERY-88563E475F8BF8 .data_base/asgard.sql:18924 READS access to ages_solicitudes_asesoria_gestion | EV-SQL_QUERY-9829CC7E8729F2 .data_base/asgard.sql:19031 READS access to ages_solicitudes_asesoria_gestion | EV-SQL_QUERY-E95017422751F8 .data_base/asgard.sql:19088 READS access to ages_solicitudes_asesoria_gestion | EV-SQL_QUERY-CC1911DE81605C .data_base/asgard.sql:19322 READS access to ages_solicitudes_asesoria_gestion | EV-SQL_QUERY-2C10608C0E3EE8 .data_base/asgard.sql:19574 READS access to ages_solicitudes_asesoria_gestion | EV-SQL_QUERY-8A6165F24AF01F .data_base/asgard.sql:19714 READS access to ages_solicitudes_asesoria_gestion | EV-SQL_QUERY-56B3045C2B2871 .data_base/asgard.sql:19765 READS access to ages_solicitudes_asesoria_gestion | EV-SQL_QUERY-A3BF58EBE20963 .data_base/asgard.sql:19820 READS access to ages_solicitudes_asesoria_gestion | EV-SQL_QUERY-BEAA80135B279E .data_base/asgard.sql:19893 READS access to ages_solicitudes_asesoria_gestion | EV-SQL_QUERY-7EE8355F1594BB .data_base/asgard.sql:20011 READS access to ages_solicitudes_asesoria_gestion | EV-SQL_QUERY-5DB03FFA128142 .data_base/asgard.sql:21306 READS access to ages_solicitudes_asesoria_gestion | EV-SQL_QUERY-79B6AB80C034F8 .data_base/asgard.sql:21396 READS access to ages_solicitudes_asesoria_gestion | EV-SQL_QUERY-7C874CC76E4943 .data_base/asgard.sql:21489 READS access to ages_solicitudes_asesoria_gestion | EV-SQL_QUERY-B7CA6D2B837DA2 .data_base/asgard.sql:21559 READS access to ages_solicitudes_asesoria_gestion | EV-SQL_QUERY-86E152F8D70605 .data_base/asgard.sql:21711 READS access to ages_solicitudes_asesoria_gestion | EV-SQL_QUERY-D53FEB4990F883 .data_base/asgard.sql:21865 READS access to ages_solicitudes_asesoria_gestion,2,0,FLOW_SEMANTIC_INFERENCE_REVIEW_REQUIRED
additional-services-request-management,dav_clienteusuariospermisos,dav,REPORTING_READ_MODEL,"Catalogo o parametro que condiciona reglas, permisos o variantes del flujo.","escritura, idreportescliente",control de acceso/cliente; transicion o bloqueo por estado; regla documental/carga-descarga; calculo financiero/impositivo; persistencia/atomicidad/concurrencia; notificacion o acceso externo,variante cliente pendiente de confirmar; catalogo/semantica pendiente; seguridad/autorizacion sensible,,- Permiso `dav_clienteusuariospermisos.idreportescliente=66`. | BR-ASRM-003 | La escritura se consulta en `dav_clienteusuariospermisos` con `idreportescliente=66`. | `dav_clienteusuariospermisos` | Permiso de escritura para agregar/editar. | Permiso de escritura | `servicios-adicionales.php` | Consulta `dav_clienteusuariospermisos.idreportescliente=66`.,EV-SQL_QUERY-B2ACEA412C2434 index_archivos/MenuClass.php:17 READS access to dav_clienteusuariospermisos | EV-SQL_QUERY-21D4C88608C506 index_archivos/MenuClass.php:33 READS access to dav_clienteusuariospermisos | EV-SQL_QUERY-A2E506CAA01117 index_archivos/menu.php:70 READS access to dav_clienteusuariospermisos | EV-SQL_QUERY-3DCDE2887C5985 index_archivos/menubs4.php:85 READS access to dav_clienteusuariospermisos,3,0,FLOW_SEMANTIC_INFERENCE_REVIEW_REQUIRED
