domain,table,field,field_type,sensitivity,flow_role,semantic_description,contexts,evidence_refs,validation_status
accounting-ledger-aging-reporting,dav_aging,anio,int,BUSINESS_DATA,Campo de soporte funcional mencionado en datos/reglas del flujo.,"En `dav_aging`, campo opcional o nullable del dominio dav. Campo legacy cuyo significado se debe confirmar por pantalla, consulta SQL o datos productivos. Se interpreta dentro de: Gestion aduanera, DAV/DAM, clientes, documentos, costos y procesos operativos de comercio exterior. Tipo fisico: int.","Registro editable de montos mensuales por anio desde 2020 hasta el anio actual. | - Insercion o actualizacion de `dav_aging` por mes/anio. | - Mes, anio y monto para aging. | ASGARD crea una tabla temporal con meses y columnas de anios desde 2020 hasta el anio actual. | El usuario edita montos por mes/anio.",,FLOW_SEMANTIC_INFERENCE_REVIEW_REQUIRED
accounting-ledger-aging-reporting,dav_aging,mes,int,BUSINESS_DATA,Dato documental o referencia a soporte/carga/descarga dentro del flujo.,"En `dav_aging`, campo opcional o nullable del dominio dav. Campo legacy cuyo significado se debe confirmar por pantalla, consulta SQL o datos productivos. Se interpreta dentro de: Gestion aduanera, DAV/DAM, clientes, documentos, costos y procesos operativos de comercio exterior. Tipo fisico: int.","- Insercion o actualizacion de `dav_aging` por mes/anio. | - Mes, anio y monto para aging. | `index_archivos/contables/agig.php` | UI editable de registro mensual por anios y meses. | El usuario abre Registro Ahorro por Mes. | ASGARD crea una tabla temporal con meses y columnas de anios desde 2020 hasta el anio actual.",,FLOW_SEMANTIC_INFERENCE_REVIEW_REQUIRED
accounting-ledger-aging-reporting,dav_aging,monto,"decimal(13, 2)",FINANCIAL_OR_COMMERCIAL,"Valor economico usado en calculos, liquidaciones, conciliacion o reporteria.","En `dav_aging`, campo opcional o nullable del dominio dav. Valor monetario o numerico usado en calculos, costos, conciliaciones, liquidaciones o reportes. Se interpreta dentro de: Gestion aduanera, DAV/DAM, clientes, documentos, costos y procesos operativos de comercio exterior. Tipo fisico: decimal(13, 2).","Registro editable de montos mensuales por anio desde 2020 hasta el anio actual. | Usuario contable | Consulta reportes y registra montos mensuales de ahorro/aging. | - Mes, anio y monto para aging. | ASGARD carga montos desde `dav_aging`. | El usuario edita montos por mes/anio.",,FLOW_SEMANTIC_INFERENCE_REVIEW_REQUIRED
accounting-ledger-aging-reporting,dav_casos,anulado,int,BUSINESS_DATA,Campo de soporte funcional mencionado en datos/reglas del flujo.,"En `dav_casos`, campo opcional o nullable del dominio dav. Campo legacy cuyo significado se debe confirmar por pantalla, consulta SQL o datos productivos. Se interpreta dentro de: Gestion aduanera, DAV/DAM, clientes, documentos, costos y procesos operativos de comercio exterior. Tipo fisico: int.",- Casos no anulados. | - Reportes contables deben filtrar por cliente de sesion y excluir casos anulados. | ASGARD consulta casos no anulados del cliente. | BR-ALAR-007 | Libro de compras excluye casos anulados y filtra por cliente de sesion. | `Caso excluido` | Caso anulado o fuera del cliente/filtro.,EV-SQL_QUERY-1E16A453C0FC22 .data_base/asgard.sql:17707 READS access to dav_casos | EV-SQL_QUERY-C8AB19C9274D78 .data_base/asgard.sql:17755 READS access to dav_casos | EV-SQL_QUERY-85B23A1F6B1886 .data_base/asgard.sql:17773 READS access to dav_casosprevios | EV-SQL_QUERY-A3D8E3282D4ABA .data_base/asgard.sql:17773 READS access to dav_casos | EV-SQL_QUERY-1A08C59D5D207E .data_base/asgard.sql:17815 READS access to dav_casostarea | EV-SQL_QUERY-F5AD1D6FB7CE71 .data_base/asgard.sql:17821 READS access to dav_casos | EV-SQL_QUERY-21DBC002504852 .data_base/asgard.sql:17827 READS access to dav_casos | EV-SQL_QUERY-F810E95BCF97F6 .data_base/asgard.sql:17839 READS access to dav_casos | EV-SQL_QUERY-6078F1BF55EFAA .data_base/asgard.sql:17875 READS access to dav_casos | EV-SQL_QUERY-A3EEC206C5E6EE .data_base/asgard.sql:17881 READS access to dav_casos | EV-SQL_QUERY-CE70168053BD60 .data_base/asgard.sql:17887 READS access to dav_casos | EV-SQL_QUERY-510EF36FB05331 .data_base/asgard.sql:17893 READS access to dav_casosprevios,FLOW_SEMANTIC_INFERENCE_REVIEW_REQUIRED
accounting-ledger-aging-reporting,dav_casos,carpeta,int,BUSINESS_DATA,Campo de soporte funcional mencionado en datos/reglas del flujo.,"En `dav_casos`, campo opcional o nullable del dominio dav. Campo legacy cuyo significado se debe confirmar por pantalla, consulta SQL o datos productivos. Se interpreta dentro de: Gestion aduanera, DAV/DAM, clientes, documentos, costos y procesos operativos de comercio exterior. Tipo fisico: int.","- Consolidacion de conceptos: tributos GA, IVA, ICE, IEHD, DUI, multas, carpeta ANB, gases, varios planilla, GDE, comision, factura ANB, otros factura y multas nota debito.",EV-SQL_QUERY-1E16A453C0FC22 .data_base/asgard.sql:17707 READS access to dav_casos | EV-SQL_QUERY-C8AB19C9274D78 .data_base/asgard.sql:17755 READS access to dav_casos | EV-SQL_QUERY-85B23A1F6B1886 .data_base/asgard.sql:17773 READS access to dav_casosprevios | EV-SQL_QUERY-A3D8E3282D4ABA .data_base/asgard.sql:17773 READS access to dav_casos | EV-SQL_QUERY-1A08C59D5D207E .data_base/asgard.sql:17815 READS access to dav_casostarea | EV-SQL_QUERY-F5AD1D6FB7CE71 .data_base/asgard.sql:17821 READS access to dav_casos | EV-SQL_QUERY-21DBC002504852 .data_base/asgard.sql:17827 READS access to dav_casos | EV-SQL_QUERY-F810E95BCF97F6 .data_base/asgard.sql:17839 READS access to dav_casos | EV-SQL_QUERY-6078F1BF55EFAA .data_base/asgard.sql:17875 READS access to dav_casos | EV-SQL_QUERY-A3EEC206C5E6EE .data_base/asgard.sql:17881 READS access to dav_casos | EV-SQL_QUERY-CE70168053BD60 .data_base/asgard.sql:17887 READS access to dav_casos | EV-SQL_QUERY-510EF36FB05331 .data_base/asgard.sql:17893 READS access to dav_casosprevios,FLOW_SEMANTIC_INFERENCE_REVIEW_REQUIRED
accounting-ledger-aging-reporting,dav_casos,columna,varchar(20) CHARACTER SET latin1,BUSINESS_DATA,Campo de soporte funcional mencionado en datos/reglas del flujo.,"En `dav_casos`, campo opcional o nullable del dominio dav. Campo legacy cuyo significado se debe confirmar por pantalla, consulta SQL o datos productivos. Se interpreta dentro de: Gestion aduanera, DAV/DAM, clientes, documentos, costos y procesos operativos de comercio exterior. Tipo fisico: varchar(20) CHARACTER SET latin1.",Aging debe presentar meses y columnas anuales desde 2020 hasta el anio actual. | ASGARD crea una tabla temporal con meses y columnas de anios desde 2020 hasta el anio actual. | BR-ALAR-001 | Aging muestra meses y columnas anuales desde 2020 hasta el anio actual.,EV-SQL_QUERY-1E16A453C0FC22 .data_base/asgard.sql:17707 READS access to dav_casos | EV-SQL_QUERY-C8AB19C9274D78 .data_base/asgard.sql:17755 READS access to dav_casos | EV-SQL_QUERY-85B23A1F6B1886 .data_base/asgard.sql:17773 READS access to dav_casosprevios | EV-SQL_QUERY-A3D8E3282D4ABA .data_base/asgard.sql:17773 READS access to dav_casos | EV-SQL_QUERY-1A08C59D5D207E .data_base/asgard.sql:17815 READS access to dav_casostarea | EV-SQL_QUERY-F5AD1D6FB7CE71 .data_base/asgard.sql:17821 READS access to dav_casos | EV-SQL_QUERY-21DBC002504852 .data_base/asgard.sql:17827 READS access to dav_casos | EV-SQL_QUERY-F810E95BCF97F6 .data_base/asgard.sql:17839 READS access to dav_casos | EV-SQL_QUERY-6078F1BF55EFAA .data_base/asgard.sql:17875 READS access to dav_casos | EV-SQL_QUERY-A3EEC206C5E6EE .data_base/asgard.sql:17881 READS access to dav_casos | EV-SQL_QUERY-CE70168053BD60 .data_base/asgard.sql:17887 READS access to dav_casos | EV-SQL_QUERY-510EF36FB05331 .data_base/asgard.sql:17893 READS access to dav_casosprevios,FLOW_SEMANTIC_INFERENCE_REVIEW_REQUIRED
accounting-ledger-aging-reporting,dav_casos,correlativo,int,BUSINESS_DATA,Campo de soporte funcional mencionado en datos/reglas del flujo.,"En `dav_casos`, campo opcional o nullable del dominio dav. Campo legacy cuyo significado se debe confirmar por pantalla, consulta SQL o datos productivos. Se interpreta dentro de: Gestion aduanera, DAV/DAM, clientes, documentos, costos y procesos operativos de comercio exterior. Tipo fisico: int.","- Libro de compras con correlativo, proveedor fijo observado, factura/planilla, DIM, autorizacion, importe, base y credito fiscal. | ASGARD genera correlativo y campos fiscales de compra.",EV-SQL_QUERY-1E16A453C0FC22 .data_base/asgard.sql:17707 READS access to dav_casos | EV-SQL_QUERY-C8AB19C9274D78 .data_base/asgard.sql:17755 READS access to dav_casos | EV-SQL_QUERY-85B23A1F6B1886 .data_base/asgard.sql:17773 READS access to dav_casosprevios | EV-SQL_QUERY-A3D8E3282D4ABA .data_base/asgard.sql:17773 READS access to dav_casos | EV-SQL_QUERY-1A08C59D5D207E .data_base/asgard.sql:17815 READS access to dav_casostarea | EV-SQL_QUERY-F5AD1D6FB7CE71 .data_base/asgard.sql:17821 READS access to dav_casos | EV-SQL_QUERY-21DBC002504852 .data_base/asgard.sql:17827 READS access to dav_casos | EV-SQL_QUERY-F810E95BCF97F6 .data_base/asgard.sql:17839 READS access to dav_casos | EV-SQL_QUERY-6078F1BF55EFAA .data_base/asgard.sql:17875 READS access to dav_casos | EV-SQL_QUERY-A3EEC206C5E6EE .data_base/asgard.sql:17881 READS access to dav_casos | EV-SQL_QUERY-CE70168053BD60 .data_base/asgard.sql:17887 READS access to dav_casos | EV-SQL_QUERY-510EF36FB05331 .data_base/asgard.sql:17893 READS access to dav_casosprevios,FLOW_SEMANTIC_INFERENCE_REVIEW_REQUIRED
accounting-ledger-aging-reporting,dav_casos,idestado,varchar(10) CHARACTER SET latin1,BUSINESS_DATA,Referencia funcional que vincula el flujo con otra entidad/catalogo.,"En `dav_casos`, campo opcional o nullable del dominio dav. Identificador o clave foranea candidata que referencia estado de ciclo de vida o clasificacion operacional. Se interpreta dentro de: Gestion aduanera, DAV/DAM, clientes, documentos, costos y procesos operativos de comercio exterior. Tipo fisico: varchar(10) CHARACTER SET latin1.",BR-ALAR-005 | Solo facturas/planillas activas con `idestadofactura=1` participan en el reporte de comision. | - Confirmar significado oficial de `idestadofactura=1`. | `Factura activa para reporte` | `dav_facturaplanilla.idestadofactura=1`. | - Confirm whether `idestadofactura=1` is the only reportable state.,EV-SQL_QUERY-1E16A453C0FC22 .data_base/asgard.sql:17707 READS access to dav_casos | EV-SQL_QUERY-C8AB19C9274D78 .data_base/asgard.sql:17755 READS access to dav_casos | EV-SQL_QUERY-85B23A1F6B1886 .data_base/asgard.sql:17773 READS access to dav_casosprevios | EV-SQL_QUERY-A3D8E3282D4ABA .data_base/asgard.sql:17773 READS access to dav_casos | EV-SQL_QUERY-1A08C59D5D207E .data_base/asgard.sql:17815 READS access to dav_casostarea | EV-SQL_QUERY-F5AD1D6FB7CE71 .data_base/asgard.sql:17821 READS access to dav_casos | EV-SQL_QUERY-21DBC002504852 .data_base/asgard.sql:17827 READS access to dav_casos | EV-SQL_QUERY-F810E95BCF97F6 .data_base/asgard.sql:17839 READS access to dav_casos | EV-SQL_QUERY-6078F1BF55EFAA .data_base/asgard.sql:17875 READS access to dav_casos | EV-SQL_QUERY-A3EEC206C5E6EE .data_base/asgard.sql:17881 READS access to dav_casos | EV-SQL_QUERY-CE70168053BD60 .data_base/asgard.sql:17887 READS access to dav_casos | EV-SQL_QUERY-510EF36FB05331 .data_base/asgard.sql:17893 READS access to dav_casosprevios,FLOW_SEMANTIC_INFERENCE_REVIEW_REQUIRED
accounting-ledger-aging-reporting,dav_casos,otro,text CHARACTER SET latin1,BUSINESS_DATA,Campo de soporte funcional mencionado en datos/reglas del flujo.,"En `dav_casos`, campo opcional o nullable del dominio dav. Campo legacy cuyo significado se debe confirmar por pantalla, consulta SQL o datos productivos. Se interpreta dentro de: Gestion aduanera, DAV/DAM, clientes, documentos, costos y procesos operativos de comercio exterior. Tipo fisico: text CHARACTER SET latin1.","- Consolidacion de conceptos: tributos GA, IVA, ICE, IEHD, DUI, multas, carpeta ANB, gases, varios planilla, GDE, comision, factura ANB, otros factura y multas nota debito. | `dav_concepto` | Clasificadores de GDE, tributos y otros conceptos.",EV-SQL_QUERY-1E16A453C0FC22 .data_base/asgard.sql:17707 READS access to dav_casos | EV-SQL_QUERY-C8AB19C9274D78 .data_base/asgard.sql:17755 READS access to dav_casos | EV-SQL_QUERY-85B23A1F6B1886 .data_base/asgard.sql:17773 READS access to dav_casosprevios | EV-SQL_QUERY-A3D8E3282D4ABA .data_base/asgard.sql:17773 READS access to dav_casos | EV-SQL_QUERY-1A08C59D5D207E .data_base/asgard.sql:17815 READS access to dav_casostarea | EV-SQL_QUERY-F5AD1D6FB7CE71 .data_base/asgard.sql:17821 READS access to dav_casos | EV-SQL_QUERY-21DBC002504852 .data_base/asgard.sql:17827 READS access to dav_casos | EV-SQL_QUERY-F810E95BCF97F6 .data_base/asgard.sql:17839 READS access to dav_casos | EV-SQL_QUERY-6078F1BF55EFAA .data_base/asgard.sql:17875 READS access to dav_casos | EV-SQL_QUERY-A3EEC206C5E6EE .data_base/asgard.sql:17881 READS access to dav_casos | EV-SQL_QUERY-CE70168053BD60 .data_base/asgard.sql:17887 READS access to dav_casos | EV-SQL_QUERY-510EF36FB05331 .data_base/asgard.sql:17893 READS access to dav_casosprevios,FLOW_SEMANTIC_INFERENCE_REVIEW_REQUIRED
accounting-ledger-aging-reporting,dav_concepto,concepto,varchar(20) CHARACTER SET latin1,BUSINESS_DATA,Dato documental o referencia a soporte/carga/descarga dentro del flujo.,"En `dav_concepto`, campo opcional o nullable del dominio dav. Texto descriptivo visible para usuarios, reportes o catalogos funcionales. Se interpreta dentro de: Gestion aduanera, DAV/DAM, clientes, documentos, costos y procesos operativos de comercio exterior. Tipo fisico: varchar(20) CHARACTER SET latin1.","# Accounting Ledger Aging Reporting - Process Definition ## Estado INFERRED_DRAFT_REVIEW_REQUIRED ## Objetivo de negocio Mantener y emitir reportes contables/fiscales de soporte: libro de compras, descomposicion contable de factura/planilla por conceptos y registro mensual de ahorro/aging. | - Consolidacion de conceptos: tributos GA, IVA, ICE, IEHD, DUI, multas, carpeta ANB, gases, varios planilla, GDE, comision, factura ANB, otros factura y multas nota debito. | - Detalles de factura y conceptos contables. | ASGARD arma temporales por concepto contable. | El usuario revisa importes por concepto o exporta Excel.",EV-SQL_QUERY-587F44C75E4D98 .data_base/asgard.sql:17791 READS access to dav_concepto | EV-SQL_QUERY-399DF0033E998D .data_base/asgard.sql:17821 READS access to dav_concepto | EV-SQL_QUERY-7A4AC0A78FE19F .data_base/asgard.sql:17827 READS access to dav_concepto | EV-SQL_QUERY-D39D415D584A89 .data_base/asgard.sql:17833 READS access to dav_concepto | EV-SQL_QUERY-D80F7FC6DC1EF1 .data_base/asgard.sql:17857 READS access to dav_concepto | EV-SQL_QUERY-522ACE1675D3D9 .data_base/asgard.sql:17869 READS access to dav_concepto | EV-SQL_QUERY-C7E545C151F505 .data_base/asgard.sql:17875 READS access to dav_concepto | EV-SQL_QUERY-CFD0A66DF51C7F .data_base/asgard.sql:17983 READS access to dav_concepto | EV-SQL_QUERY-03B8C88AE883A5 .data_base/asgard.sql:18413 READS access to dav_concepto | EV-SQL_QUERY-9CE529A74838D9 .data_base/asgard.sql:18458 READS access to dav_concepto | EV-SQL_QUERY-59EDA3FA877A03 .data_base/asgard.sql:18530 READS access to dav_concepto | EV-SQL_QUERY-64F81B79DD8101 .data_base/asgard.sql:18558 READS access to dav_concepto,FLOW_SEMANTIC_INFERENCE_REVIEW_REQUIRED
