artifact_type,artifact,technical_description,semantic_candidate_description,validation_status,review_question,evidence_ids,owner_domain,sensitivity
TABLE,ada_agentesaduana,Physical table declared in .data_base/asgard.sql,"Tabla candidata del dominio ada: Agentes de aduana: entidades, contactos, documentos y relacion con clientes. Por su nombre agrupa agentes externos o internos que participan en gestion aduanera/operativa, agente externo o interno que participa en gestion aduanera/operativa, aduana o entidad/parametro del tramite aduanero. Tiene lectura y escritura observada, por lo que probablemente participa en un flujo transaccional activo.",SEMANTIC_INFERENCE_REVIEW_REQUIRED,"Confirmar si `ada_agentesaduana` representa correctamente: Tabla candidata del dominio ada: Agentes de aduana: entidades, contactos, documentos y relacion con clientes. Por su nombre agrupa agentes externos o internos que participan en gestion aduanera/operativa, agente externo o interno que participa en gestion aduanera/operativa, aduana o entidad/parametro del tramite aduanero. Tiene lectura y escritura observada, por lo que probablemente participa en un flujo transaccional activo.","[""DB-TABLE-E00AA9FEB98698""]",ada,UNKNOWN_OR_BUSINESS_DATA
TABLE,ada_agentescontactos,Physical table declared in .data_base/asgard.sql,"Tabla candidata del dominio ada: Agentes de aduana: entidades, contactos, documentos y relacion con clientes. Por su nombre agrupa personas de contacto y sus datos de comunicacion, persona de contacto y sus datos de comunicacion, agentes externos o internos que participan en gestion aduanera/operativa, agente externo o interno que participa en gestion aduanera/operativa. Tiene lectura y escritura observada, por lo que probablemente participa en un flujo transaccional activo.",SEMANTIC_INFERENCE_REVIEW_REQUIRED,"Confirmar si `ada_agentescontactos` representa correctamente: Tabla candidata del dominio ada: Agentes de aduana: entidades, contactos, documentos y relacion con clientes. Por su nombre agrupa personas de contacto y sus datos de comunicacion, persona de contacto y sus datos de comunicacion, agentes externos o internos que participan en gestion aduanera/operativa, agente externo o interno que participa en gestion aduanera/operativa. Tiene lectura y escritura observada, por lo que probablemente participa en un flujo transaccional activo.","[""DB-TABLE-F447E0C7A23CB6""]",ada,LIKELY_PERSONAL_OR_SENSITIVE
TABLE,ada_agentesdocumentos,Physical table declared in .data_base/asgard.sql,"Tabla candidata del dominio ada: Agentes de aduana: entidades, contactos, documentos y relacion con clientes. Por su nombre agrupa documentos o soportes asociados al expediente, documento o soporte asociado al expediente, agentes externos o internos que participan en gestion aduanera/operativa, agente externo o interno que participa en gestion aduanera/operativa. Tiene lectura y escritura observada, por lo que probablemente participa en un flujo transaccional activo.",SEMANTIC_INFERENCE_REVIEW_REQUIRED,"Confirmar si `ada_agentesdocumentos` representa correctamente: Tabla candidata del dominio ada: Agentes de aduana: entidades, contactos, documentos y relacion con clientes. Por su nombre agrupa documentos o soportes asociados al expediente, documento o soporte asociado al expediente, agentes externos o internos que participan en gestion aduanera/operativa, agente externo o interno que participa en gestion aduanera/operativa. Tiene lectura y escritura observada, por lo que probablemente participa en un flujo transaccional activo.","[""DB-TABLE-F077CE689E7F11""]",ada,UNKNOWN_OR_BUSINESS_DATA
TABLE,ada_clienteagenteaduana,Physical table declared in .data_base/asgard.sql,"Tabla candidata del dominio ada: Agentes de aduana: entidades, contactos, documentos y relacion con clientes. Por su nombre agrupa cliente/tenant propietario de la operacion o filtro de visibilidad, agente externo o interno que participa en gestion aduanera/operativa, aduana o entidad/parametro del tramite aduanero. Tiene lectura y escritura observada, por lo que probablemente participa en un flujo transaccional activo.",SEMANTIC_INFERENCE_REVIEW_REQUIRED,"Confirmar si `ada_clienteagenteaduana` representa correctamente: Tabla candidata del dominio ada: Agentes de aduana: entidades, contactos, documentos y relacion con clientes. Por su nombre agrupa cliente/tenant propietario de la operacion o filtro de visibilidad, agente externo o interno que participa en gestion aduanera/operativa, aduana o entidad/parametro del tramite aduanero. Tiene lectura y escritura observada, por lo que probablemente participa en un flujo transaccional activo.","[""DB-TABLE-0F18FF928B54F2""]",ada,UNKNOWN_OR_BUSINESS_DATA
TABLE,ada_tipocontactos,Physical table declared in .data_base/asgard.sql,"Tabla candidata del dominio ada: Agentes de aduana: entidades, contactos, documentos y relacion con clientes. Por su nombre agrupa personas de contacto y sus datos de comunicacion, persona de contacto y sus datos de comunicacion, tipo/clasificador que parametriza la regla o pantalla. Tiene lecturas observadas y parece actuar como consulta, catalogo o fuente de reporte.",SEMANTIC_INFERENCE_REVIEW_REQUIRED,"Confirmar si `ada_tipocontactos` representa correctamente: Tabla candidata del dominio ada: Agentes de aduana: entidades, contactos, documentos y relacion con clientes. Por su nombre agrupa personas de contacto y sus datos de comunicacion, persona de contacto y sus datos de comunicacion, tipo/clasificador que parametriza la regla o pantalla. Tiene lecturas observadas y parece actuar como consulta, catalogo o fuente de reporte.","[""DB-TABLE-AF28A879AFFBD9""]",ada,LIKELY_PERSONAL_OR_SENSITIVE
TABLE,adaprov_agenteproveedor,Physical table declared in .data_base/asgard.sql,"Tabla candidata del dominio adaprov: Relacion entre agentes/proveedores, contactos y mercancias. Por su nombre agrupa proveedor o tercero participante en el proceso, agente externo o interno que participa en gestion aduanera/operativa. Tiene lecturas observadas y parece actuar como consulta, catalogo o fuente de reporte.",SEMANTIC_INFERENCE_REVIEW_REQUIRED,"Confirmar si `adaprov_agenteproveedor` representa correctamente: Tabla candidata del dominio adaprov: Relacion entre agentes/proveedores, contactos y mercancias. Por su nombre agrupa proveedor o tercero participante en el proceso, agente externo o interno que participa en gestion aduanera/operativa. Tiene lecturas observadas y parece actuar como consulta, catalogo o fuente de reporte.","[""DB-TABLE-EA33FA35EA2536""]",adaprov,UNKNOWN_OR_BUSINESS_DATA
TABLE,adaprov_agenteproveedorcontactos,Physical table declared in .data_base/asgard.sql,"Tabla candidata del dominio adaprov: Relacion entre agentes/proveedores, contactos y mercancias. Por su nombre agrupa proveedor o tercero participante en el proceso, personas de contacto y sus datos de comunicacion, persona de contacto y sus datos de comunicacion, agente externo o interno que participa en gestion aduanera/operativa. Tiene lecturas observadas y parece actuar como consulta, catalogo o fuente de reporte.",SEMANTIC_INFERENCE_REVIEW_REQUIRED,"Confirmar si `adaprov_agenteproveedorcontactos` representa correctamente: Tabla candidata del dominio adaprov: Relacion entre agentes/proveedores, contactos y mercancias. Por su nombre agrupa proveedor o tercero participante en el proceso, personas de contacto y sus datos de comunicacion, persona de contacto y sus datos de comunicacion, agente externo o interno que participa en gestion aduanera/operativa. Tiene lecturas observadas y parece actuar como consulta, catalogo o fuente de reporte.","[""DB-TABLE-9826F04C518FAC""]",adaprov,LIKELY_PERSONAL_OR_SENSITIVE
TABLE,adaprov_agenteproveedormercancia,Physical table declared in .data_base/asgard.sql,"Tabla candidata del dominio adaprov: Relacion entre agentes/proveedores, contactos y mercancias. Por su nombre agrupa proveedor o tercero participante en el proceso, mercancia o item objeto de transporte/declaracion, agente externo o interno que participa en gestion aduanera/operativa. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.",SEMANTIC_INFERENCE_REVIEW_REQUIRED,"Confirmar si `adaprov_agenteproveedormercancia` representa correctamente: Tabla candidata del dominio adaprov: Relacion entre agentes/proveedores, contactos y mercancias. Por su nombre agrupa proveedor o tercero participante en el proceso, mercancia o item objeto de transporte/declaracion, agente externo o interno que participa en gestion aduanera/operativa. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.","[""DB-TABLE-48EC8C5FFF5B48""]",adaprov,LIKELY_PERSONAL_OR_SENSITIVE
TABLE,adicion,Physical table declared in .data_base/asgard.sql,"Tabla candidata del dominio transversal: Tabla transversal o legacy sin prefijo funcional inequivoco. Por su nombre agrupa entidad o catalogo legacy cuyo significado debe confirmarse por uso en codigo y datos. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.",SEMANTIC_INFERENCE_REVIEW_REQUIRED,"Confirmar si `adicion` representa correctamente: Tabla candidata del dominio transversal: Tabla transversal o legacy sin prefijo funcional inequivoco. Por su nombre agrupa entidad o catalogo legacy cuyo significado debe confirmarse por uso en codigo y datos. No tiene uso PHP directo en la evidencia; puede ser historica, consumida por SQL/vistas/procedimientos o estar fuera del alcance estatico.","[""DB-TABLE-4811AB5BA38BC5""]",transversal,LIKELY_PERSONAL_OR_SENSITIVE
TABLE,ads_agenteseguro,Physical table declared in .data_base/asgard.sql,"Tabla candidata del dominio ads: Agentes de seguro o soporte documental asociado a seguros/contactos. Por su nombre agrupa agentes externos o internos que participan en gestion aduanera/operativa, agente externo o interno que participa en gestion aduanera/operativa. Tiene lectura y escritura observada, por lo que probablemente participa en un flujo transaccional activo.",SEMANTIC_INFERENCE_REVIEW_REQUIRED,"Confirmar si `ads_agenteseguro` representa correctamente: Tabla candidata del dominio ads: Agentes de seguro o soporte documental asociado a seguros/contactos. Por su nombre agrupa agentes externos o internos que participan en gestion aduanera/operativa, agente externo o interno que participa en gestion aduanera/operativa. Tiene lectura y escritura observada, por lo que probablemente participa en un flujo transaccional activo.","[""DB-TABLE-A968ADD9A5B32A""]",ads,UNKNOWN_OR_BUSINESS_DATA
