from,to,type,source,line,confidence,evidence_ids
FILE:.data_base/asgard.sql,DATA:CURRENT_TIMESTAMP,writes,.data_base/asgard.sql,633,observed_ddl_or_sql,"[""EV-SQL_QUERY-6E6250B5F225AA""]"
FILE:.data_base/asgard.sql,DATA:CURRENT_TIMESTAMP,writes,.data_base/asgard.sql,1027,observed_ddl_or_sql,"[""EV-SQL_QUERY-B5FA30EB666066""]"
FILE:.data_base/asgard.sql,DATA:CURRENT_TIMESTAMP,writes,.data_base/asgard.sql,1243,observed_ddl_or_sql,"[""EV-SQL_QUERY-0FAAABA7B929F6""]"
FILE:.data_base/asgard.sql,DATA:CURRENT_TIMESTAMP,writes,.data_base/asgard.sql,1257,observed_ddl_or_sql,"[""EV-SQL_QUERY-CD2004C7E40132""]"
FILE:.data_base/asgard.sql,DATA:CURRENT_TIMESTAMP,writes,.data_base/asgard.sql,1271,observed_ddl_or_sql,"[""EV-SQL_QUERY-D58217B2EB01CA""]"
FILE:.data_base/asgard.sql,DATA:CURRENT_TIMESTAMP,writes,.data_base/asgard.sql,1362,observed_ddl_or_sql,"[""EV-SQL_QUERY-801F32D2089454""]"
FILE:.data_base/asgard.sql,DATA:CURRENT_TIMESTAMP,writes,.data_base/asgard.sql,1863,observed_ddl_or_sql,"[""EV-SQL_QUERY-FCA1EB3E215346""]"
FILE:.data_base/asgard.sql,DATA:CURRENT_TIMESTAMP,writes,.data_base/asgard.sql,2186,observed_ddl_or_sql,"[""EV-SQL_QUERY-D6741449CC859C""]"
FILE:.data_base/asgard.sql,DATA:CURRENT_TIMESTAMP,writes,.data_base/asgard.sql,2637,observed_ddl_or_sql,"[""EV-SQL_QUERY-C9CEA45B673D45""]"
FILE:.data_base/asgard.sql,DATA:CURRENT_TIMESTAMP,writes,.data_base/asgard.sql,2863,observed_ddl_or_sql,"[""EV-SQL_QUERY-409D7B846B6EFF""]"
FILE:.data_base/asgard.sql,DATA:CURRENT_TIMESTAMP,writes,.data_base/asgard.sql,3585,observed_ddl_or_sql,"[""EV-SQL_QUERY-F43C186D3974DE""]"
FILE:.data_base/asgard.sql,DATA:CURRENT_TIMESTAMP,writes,.data_base/asgard.sql,4542,observed_ddl_or_sql,"[""EV-SQL_QUERY-F9B279816B0C7E""]"
FILE:.data_base/asgard.sql,DATA:CURRENT_TIMESTAMP,writes,.data_base/asgard.sql,4654,observed_ddl_or_sql,"[""EV-SQL_QUERY-56D50DF422AA23""]"
FILE:.data_base/asgard.sql,DATA:CURRENT_TIMESTAMP,writes,.data_base/asgard.sql,5181,observed_ddl_or_sql,"[""EV-SQL_QUERY-5E4FA1C84B1029""]"
FILE:.data_base/asgard.sql,DATA:CURRENT_TIMESTAMP,writes,.data_base/asgard.sql,5223,observed_ddl_or_sql,"[""EV-SQL_QUERY-84D2F09301A43A""]"
FILE:.data_base/asgard.sql,DATA:CURRENT_TIMESTAMP,writes,.data_base/asgard.sql,5271,observed_ddl_or_sql,"[""EV-SQL_QUERY-9D96D423F8E83C""]"
FILE:.data_base/asgard.sql,DATA:CURRENT_TIMESTAMP,writes,.data_base/asgard.sql,5311,observed_ddl_or_sql,"[""EV-SQL_QUERY-0D19FA443CD632""]"
FILE:.data_base/asgard.sql,DATA:CURRENT_TIMESTAMP,writes,.data_base/asgard.sql,5372,observed_ddl_or_sql,"[""EV-SQL_QUERY-B3989D8BE7BB1E""]"
FILE:.data_base/asgard.sql,DATA:CURRENT_TIMESTAMP,writes,.data_base/asgard.sql,5502,observed_ddl_or_sql,"[""EV-SQL_QUERY-982E4AD3CFC840""]"
FILE:.data_base/asgard.sql,DATA:CURRENT_TIMESTAMP,writes,.data_base/asgard.sql,5694,observed_ddl_or_sql,"[""EV-SQL_QUERY-4109FAA0EA10A9""]"
FILE:.data_base/asgard.sql,DATA:CURRENT_TIMESTAMP,writes,.data_base/asgard.sql,6661,observed_ddl_or_sql,"[""EV-SQL_QUERY-0157748CFD55B5""]"
FILE:.data_base/asgard.sql,DATA:CURRENT_TIMESTAMP,writes,.data_base/asgard.sql,7085,observed_ddl_or_sql,"[""EV-SQL_QUERY-9C1C1C910AD7BA""]"
FILE:.data_base/asgard.sql,DATA:CURRENT_TIMESTAMP,writes,.data_base/asgard.sql,8094,observed_ddl_or_sql,"[""EV-SQL_QUERY-D26B26BA553FE5""]"
FILE:.data_base/asgard.sql,DATA:CURRENT_TIMESTAMP,writes,.data_base/asgard.sql,8177,observed_ddl_or_sql,"[""EV-SQL_QUERY-DE05CB168C44CB""]"
FILE:.data_base/asgard.sql,DATA:CURRENT_TIMESTAMP,writes,.data_base/asgard.sql,8706,observed_ddl_or_sql,"[""EV-SQL_QUERY-B6CF1913A5D729""]"
FILE:.data_base/asgard.sql,DATA:CURRENT_TIMESTAMP,writes,.data_base/asgard.sql,9049,observed_ddl_or_sql,"[""EV-SQL_QUERY-5CC6D5517F9B32""]"
FILE:.data_base/asgard.sql,DATA:CURRENT_TIMESTAMP,writes,.data_base/asgard.sql,10113,observed_ddl_or_sql,"[""EV-SQL_QUERY-D3BD3567C31949""]"
FILE:.data_base/asgard.sql,DATA:CURRENT_TIMESTAMP,writes,.data_base/asgard.sql,10569,observed_ddl_or_sql,"[""EV-SQL_QUERY-4F5D81B949721E""]"
FILE:.data_base/asgard.sql,DATA:CURRENT_TIMESTAMP,writes,.data_base/asgard.sql,10788,observed_ddl_or_sql,"[""EV-SQL_QUERY-5AEB794CC125A9""]"
FILE:.data_base/asgard.sql,DATA:CURRENT_TIMESTAMP,writes,.data_base/asgard.sql,12727,observed_ddl_or_sql,"[""EV-SQL_QUERY-72C1744350DA5D""]"
FILE:.data_base/asgard.sql,DATA:CURRENT_TIMESTAMP,writes,.data_base/asgard.sql,15675,observed_ddl_or_sql,"[""EV-SQL_QUERY-77D34A99CFC05C""]"
FILE:.data_base/asgard.sql,DATA:CURRENT_TIMESTAMP,writes,.data_base/asgard.sql,15714,observed_ddl_or_sql,"[""EV-SQL_QUERY-92FC3C92EFB2EE""]"
FILE:.data_base/asgard.sql,DATA:CURRENT_TIMESTAMP,writes,.data_base/asgard.sql,15835,observed_ddl_or_sql,"[""EV-SQL_QUERY-D9BA7CC809985C""]"
FILE:.data_base/asgard.sql,DATA:CURRENT_TIMESTAMP,writes,.data_base/asgard.sql,15855,observed_ddl_or_sql,"[""EV-SQL_QUERY-30DA7895AEE52C""]"
